# M    R    Rdot     T      X_He     X_C    X_O    X_Ne    X_Mg    X_Si    X_Ni
# Energy = -2.43222e+50 ergs
1.98855e+31 3.84229e+07 0 3.38844e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 4.87813e+07 0 3.42105e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 5.6207e+07 0 3.45397e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.2232e+07 0 3.48721e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.74095e+07 0 3.52077e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.20102e+07 0 3.55465e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.6189e+07 0 3.58885e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 8.00443e+07 0 3.62339e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 8.36425e+07 0 3.65826e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 8.70311e+07 0 3.69346e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 9.02454e+07 0 3.729e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 9.33122e+07 0 3.76489e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 9.62525e+07 0 3.80112e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 9.90832e+07 0 3.8377e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.01818e+08 0 3.87463e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.04468e+08 0 3.91191e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.07043e+08 0 3.94956e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.09552e+08 0 3.98757e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.12e+08 0 4.02594e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.14393e+08 0 4.06468e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.16738e+08 0 4.1038e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.19039e+08 0 4.14329e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.21299e+08 0 4.18316e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.23523e+08 0 4.22341e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.25712e+08 0 4.26406e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.27872e+08 0 4.30509e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.30003e+08 0 4.34652e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.32108e+08 0 4.38835e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.3419e+08 0 4.43058e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.36251e+08 0 4.47321e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.38291e+08 0 4.51626e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.40314e+08 0 4.55972e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.42321e+08 0 4.6036e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.44312e+08 0 4.6479e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.4629e+08 0 4.69263e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.48256e+08 0 4.73778e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.5021e+08 0 4.78338e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.52155e+08 0 4.82941e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.5409e+08 0 4.87588e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.56019e+08 0 4.9228e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.5794e+08 0 4.97018e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.59855e+08 0 5.018e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.61766e+08 0 5.06629e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.63672e+08 0 5.11505e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.65576e+08 0 5.16427e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.67476e+08 0 5.21397e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.69376e+08 0 5.26414e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.71274e+08 0 5.3148e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.73173e+08 0 5.36594e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.75072e+08 0 5.41758e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.76973e+08 0 5.46971e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.78876e+08 0 5.52235e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.80783e+08 0 5.57549e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 1.82693e+08 0 5.62915e+07 0 0.5 0.5 0 0 0 0
