# M    R    Rdot     T      Y_He     Y_C    Y_O    Y_Ne    Y_Mg    Y_Si    Y_Ni
# Energy = -2.04219e+50 ergs
1.98855e+31 4.70877e+07 0 9.96779e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 5.97846e+07 0 9.91621e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 6.88904e+07 0 9.8977e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 7.62814e+07 0 9.88201e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 8.26352e+07 0 9.86762e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 8.82833e+07 0 9.854e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 9.34157e+07 0 9.84089e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 9.81527e+07 0 9.82824e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.02576e+08 0 9.81605e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.06743e+08 0 9.80434e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.10697e+08 0 9.79312e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.14471e+08 0 9.7824e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.18091e+08 0 9.77212e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.21578e+08 0 9.76224e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.24948e+08 0 9.75269e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.28215e+08 0 9.74343e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.31391e+08 0 9.73437e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.34486e+08 0 9.72545e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.37508e+08 0 9.71657e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.40464e+08 0 9.70766e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.43361e+08 0 9.69863e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.46205e+08 0 9.68944e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.49e+08 0 9.68005e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.51751e+08 0 9.67045e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.54462e+08 0 9.66064e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.57136e+08 0 9.65062e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.59777e+08 0 9.6404e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.62388e+08 0 9.62997e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.64971e+08 0 9.61934e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.67529e+08 0 9.60849e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.70064e+08 0 9.59743e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.72578e+08 0 9.58615e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.75073e+08 0 9.57466e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.77551e+08 0 9.56295e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.80014e+08 0 9.55102e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.82463e+08 0 9.53888e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.849e+08 0 9.52652e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.87327e+08 0 9.51395e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.89745e+08 0 9.50116e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.92154e+08 0 9.48815e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.94558e+08 0 9.4749e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.96955e+08 0 9.46142e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 1.99349e+08 0 9.44768e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 2.0174e+08 0 9.43369e+06 0 0.0416667 0.03125 0 0 0 0
