# M    R    Rdot     T      X_He     X_C    X_O    X_Ne    X_Mg    X_Si    X_Ni
# Energy = -2.50173e+50 ergs
3.9771e+30 2.23987e+07 0 3.38844e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 2.83025e+07 0 3.39494e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 3.24719e+07 0 3.40145e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 3.58113e+07 0 3.40797e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 3.86469e+07 0 3.4145e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 4.11383e+07 0 3.42105e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 4.33771e+07 0 3.42761e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 4.54212e+07 0 3.43418e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 4.73097e+07 0 3.44076e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 4.90706e+07 0 3.44736e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 5.07247e+07 0 3.45397e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 5.22877e+07 0 3.46059e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 5.3772e+07 0 3.46723e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 5.51876e+07 0 3.47387e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 5.65424e+07 0 3.48054e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 5.78431e+07 0 3.48721e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 5.90953e+07 0 3.49389e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 6.03037e+07 0 3.50059e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 6.14723e+07 0 3.5073e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 6.26045e+07 0 3.51403e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 6.37034e+07 0 3.52077e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 6.47716e+07 0 3.52752e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 6.58114e+07 0 3.53428e+07 0 0.5 0.5 0 0 0 0
3.9771e+30 6.68248e+07 0 3.54106e+07 0 0.5 0.5 0 0 0 0
