# M    R    Rdot     T      X_He     X_C    X_O    X_Ne    X_Mg    X_Si    X_Ni
# Energy = -3.75015e+50 ergs
1.98855e+31 2.21662e+07 0 6.30957e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 2.80721e+07 0 6.30558e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 3.22965e+07 0 6.30158e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 3.57208e+07 0 6.29759e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 3.86618e+07 0 6.2936e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 4.12742e+07 0 6.28961e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 4.36465e+07 0 6.28563e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 4.58346e+07 0 6.28165e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 4.78765e+07 0 6.27767e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 4.97991e+07 0 6.27369e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 5.16224e+07 0 6.26971e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 5.33617e+07 0 6.26574e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 5.50288e+07 0 6.26177e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 5.66334e+07 0 6.2578e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 5.81831e+07 0 6.25384e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 5.96845e+07 0 6.24988e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.11429e+07 0 6.24592e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.2563e+07 0 6.24196e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.39485e+07 0 6.23801e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.53028e+07 0 6.23406e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.6629e+07 0 6.23011e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.79295e+07 0 6.22616e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 6.92066e+07 0 6.22221e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.04625e+07 0 6.21827e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.16988e+07 0 6.21433e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.29172e+07 0 6.2104e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.41192e+07 0 6.20646e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.53062e+07 0 6.20253e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.64793e+07 0 6.1986e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.76396e+07 0 6.19467e+07 0 0.5 0.5 0 0 0 0
1.98855e+31 7.87882e+07 0 6.19075e+07 0 0.5 0.5 0 0 0 0
